"COMID","urban","forest","wetland","agrc","shrub","turban","tforest","twetland","tagrc","tshrub"
"23099590",8.2,0.93,4.34,36.68,47.83,5.17,31.54,1.67,14.77,40.32
"23099594",27.41,0,0.57,3.44,56.55,5.18,31.8,1.68,14.55,40.29
"23099596",8.48,0,0,0,85.32,5.17,31.8,1.68,14.55,40.29
"23099598",4.51,0,0.28,0.15,89.54,5.17,31.81,1.68,14.55,40.28
"23099600",6.13,0,0.62,22.43,65.51,5.17,31.82,1.68,14.55,40.27
"23099602",6.33,0.54,0.89,40.17,47.85,5.17,31.83,1.68,14.55,40.26
"23099606",11.2,0,4,42.4,29.6,5.17,31.89,1.68,14.46,40.28
"23099608",7.77,0.08,1.25,27.43,59.01,5.17,31.89,1.68,14.46,40.28
"23099610",46.08,0,0.68,51.54,1.37,6.56,0,0.13,44.66,41.56
"23099612",27.5,0,0,72.5,0,6.47,0,0.13,44.65,41.65
"23099614",17.76,0.25,2.19,63.54,11.58,6.45,0,0.13,44.64,41.67
"23099616",20.92,0,0.34,71.28,3.92,6.23,0,0.08,44.27,42.25
"23099618",25.39,0,0,68.24,1.2,2.9,0,0.02,38.15,50.94
"23099620",9.02,0,6.39,67.29,16.92,2.61,0,0.02,37.75,51.61
"23099622",4.04,0,0.11,87.63,8.11,2.53,0,0.01,36.93,52.39
"23099624",8.4,0,0,91.61,0,1.79,0,0,30.64,57.95
"23099626",3.81,0,0,93.82,2.38,1.58,0,0,28.49,60.07
"23099628",3.36,0,0,61.58,28.31,1.55,0,0,27.38,61.05
"23099630",3.77,0,0,63.91,23.99,1.39,0,0,24.41,63.9
"23099632",0.42,0,0,20.43,42.81,1.34,0,0,23.52,64.8
"23099634",0,0,0,0,47.62,1.17,0,0,27.11,55.33
"23099636",0,0,0,0,67.81,1.15,0,0,30.19,52.03
"23099638",0,0,0,0,82.38,1.28,0,0,33.62,49.74
"23099640",0,0,0,0,87.5,1.42,0,0,37.43,46.45
"23099642",0,0,0,0,73.88,1.7,0,0,44.51,43.8
"23099644",0,0,0,0,63.98,1.83,0,0,48.17,41.32
"23099646",0,0,0,0,83.33,1.86,0,0,48.91,40.98
"23099648",0,0,0,0,85.66,1.88,0,0,49.29,40.65
"23099650",0.13,0,0,0,76.46,1.91,0,0,50.24,39.78
"23099652",0.76,0,0,32.12,64.84,1.68,0,0,70.93,26.52
"23099654",2.31,0,0,96.15,1.54,2.31,0,0,96.15,1.54
"23099656",22,0.01,1.36,38.82,34.94,5.17,32.41,1.71,13.93,40.23
"23099658",51.21,0,0.68,39.58,4.68,5.12,32.51,1.7,13.85,40.25
"23099660",77.22,0,0.99,0,4.95,5.11,32.51,1.7,13.85,40.25
"23099662",40.48,0,0,0,0,5.11,32.51,1.7,13.85,40.25
"23099664",26.16,0,0.54,30.85,38.71,5.09,32.55,1.7,13.78,40.29
"23099666",9.4,0.03,1.46,44.98,39.04,5.03,32.67,1.71,13.71,40.31
"23099668",7.08,0,1.86,15.28,52.46,5.01,32.79,1.71,13.59,40.32
"23099670",50.02,0,0,44.81,3.93,5.01,32.79,1.71,13.59,40.31
"23099672",26.26,0.05,0.17,62.73,7.89,4.99,32.8,1.71,13.58,40.32
"23099674",8.11,0,0.76,45.3,39.98,4.98,32.82,1.71,13.55,40.34
"23099676",9.45,0,4.76,72.6,5.05,4.98,32.83,1.71,13.54,40.34
"23099678",11.99,0.02,2.36,65.77,16.43,4.93,32.89,1.71,13.45,40.41
"23099680",0,0,85.41,0,0,4.9,33.08,1.72,13.18,40.51
"23099682",5.49,0,48.21,21.74,21.96,4.9,33.09,1.71,13.17,40.52
"23099684",1.91,0,76.27,11.52,3.78,4.77,34.16,1.75,12.22,40.55
"23099686",5.73,0.03,10.95,76.53,4.94,4.78,34.34,1.74,12.14,40.47
"23099688",7.67,0,25.37,47.77,14.3,4.78,34.43,1.72,11.97,40.56
"23099690",4.86,0.03,10.5,68.06,15.01,4.78,34.45,1.71,11.95,40.58
"23099692",0.36,0,55.19,20.43,10.04,4.78,34.69,1.69,11.78,40.49
"23099694",4.09,0,34.71,52.62,2.39,5.08,36.85,1.77,13.19,36.49
"23099696",0.57,0,93.34,3.68,0,5.08,36.88,1.75,13.16,36.51
"23099698",5.78,0.2,22.23,59.94,9.24,5.08,36.88,1.74,13.16,36.51
"23099700",5,0,71,0,13,5.08,36.93,1.71,13.1,36.55
"23099702",5.6,0,8.95,81.92,1.54,5.08,36.93,1.71,13.1,36.55
"23099704",0,0,96.64,0,3.36,5.08,36.94,1.71,13.08,36.56
"23099706",0,0,96.64,0,3.36,5.08,36.94,1.71,13.08,36.56
"23099708",0,0,54.96,45.04,0,5.08,36.94,1.71,13.08,36.56
"23099710",0,0,70.62,19.49,0,5.08,36.95,1.71,13.08,36.56
"23099712",3.85,0,14.15,79.15,1.55,5.08,36.95,1.7,13.08,36.56
"23099714",3.41,0,39.78,40.29,14.74,5.08,36.96,1.7,13.05,36.58
"23099716",4.76,0,36.74,46.94,2.04,5.09,36.98,1.68,13.04,36.59
"23099718",5.55,0,40.22,30.92,14.71,5.09,36.98,1.68,13.04,36.59
"23099720",3.46,0,26.97,61.4,6.1,5.09,36.99,1.68,13.04,36.59
"23099722",4.35,0,34.79,52.17,4.35,5.12,38.96,1.47,12.15,35.1
"23099724",21.26,0,43.05,28.47,3.02,5.12,38.96,1.47,12.15,35.1
"23099726",47.09,0,37.12,1.39,1.94,5.12,38.96,1.47,12.15,35.11
"23099728",15.53,0,34.13,43.58,0,5.12,38.97,1.47,12.15,35.11
"23099730",40.4,0,20.2,7.39,0,4.95,39.89,1.45,10.59,35.78
"23099732",36.66,0,28.15,17.78,2.59,4.88,40.51,1.46,9.81,35.98
"23099734",47.98,0,28.44,17.19,1.09,4.87,40.52,1.46,9.78,35.99
"23099736",11.43,0,43.71,35.85,1.36,4.86,40.56,1.44,9.74,36.02
"23099738",0,0,38.46,30.77,0,4.86,40.6,1.43,9.67,36.06
"23099742",8.35,0,10.56,60.63,16.6,4.86,40.8,1.42,9.57,36.03
"23099744",66.89,0,23.56,0,4.46,4.85,40.86,1.4,9.5,36.06
"23099746",26.54,0,37.65,17.9,6.17,4.85,40.86,1.4,9.5,36.06
"23099748",25.54,0,7.87,64.16,1.51,4.85,40.86,1.4,9.5,36.07
"23099750",41.46,0,28.37,22.36,1.54,4.84,40.92,1.37,9.43,36.11
"23099752",87.71,0,7.35,1.8,0.3,4.84,40.92,1.37,9.43,36.12
"23099754",0,0,94.59,0,5.41,4.77,41.14,1.36,9.27,36.2
"23099756",0,0,80.74,0,4.66,4.77,41.14,1.36,9.27,36.2
"23099758",0,0,47.75,0,10.81,4.77,41.14,1.35,9.27,36.2
"23099760",7.18,0,78.7,0,4.01,4.77,41.14,1.35,9.27,36.2
"23099762",55.33,0,30.2,0.25,14.21,4.77,41.15,1.35,9.27,36.2
"23099764",20.47,0,66.15,0,11.81,4.77,41.15,1.35,9.27,36.2
"23099766",4.38,0,62.51,8.13,9.38,4.77,41.15,1.35,9.27,36.2
"23099768",30.98,0,49.51,4.44,10.25,4.77,41.15,1.35,9.27,36.2
"23099770",8.07,0,57.63,14.7,13.15,4.7,41.38,1.33,9.06,36.28
"23099772",0,0,0,0,100,4.7,41.39,1.31,9.06,36.29
"23099774",7.5,0,26.07,55.36,2.14,4.7,41.39,1.31,9.06,36.29
"23099776",8.35,0,53.58,29.1,1.04,4.7,41.39,1.31,9.06,36.29
"23099778",22.64,0.25,22.09,42.03,7.56,4.7,41.39,1.31,9.06,36.29
