"COMID","urban","forest","wetland","agrc","shrub","turban","tforest","twetland","tagrc","tshrub"
"23101890",28.57,0,0,71.43,0,0.64,0,0,12.26,23.16
"23101892",11.11,0,0,88.89,0,0.7,0,0,12.75,23.02
"23101894",0,0,0,0,96.85,0,0.38,0,0,88.9
"23101896",0,0,0,0,20.87,0,0,0,3.03,75.5
"23101898",0,0,0,15.73,72.56,0,0,0,8.73,84.73
"23101900",0,0,0,10.42,55.97,0,0,0,4.68,74.45
"23101902",10.52,0,0,67.22,15.88,1.27,0,0,27.09,27.02
"23101904",6.77,0,0,19.81,47.33,6.77,0,0,19.81,47.33
"23101906",7.31,0,0,27.25,31.45,3.57,0,0,19.03,26.67
"23101908",25,0,0,75,0,4.28,0,0,23.14,38.1
"23101910",0,0,0,0,85.92,0,0,0,0,85.92
"23101912",0,0,0,10.42,55.97,0,0,0,10.42,55.97
"23101914",0,0,0,0,86.67,0,0,0,0,99.85
"23101916",60,0,0,40,0,4,0,0,21.44,33.38
"23101918",0,0,0,0,100,0,0,0,0,95.01
"23101920",0,0,0,0,100,0,0,0,0,100
"23101930",1.89,0,0,0,97.02,1.89,0,0,0,97.02
"23101932",0,0,0,10.09,72.91,0,0,0,10.09,72.91
"23101934",0,0,0,0,67.29,0,0,0,0,67.29
"23101936",0,0,0,0,100,0,0,0,0,100
"23101938",0,0,0,0,97.31,0,0,0,0,95.5
"23101940",2.75,0.43,0,0,96.82,1.4,1.09,0,0,95.67
"23101942",0.51,1.81,0,0,94.59,0.51,1.81,0,0,94.59
"23101944",0,0,0,0,100,0,0,0,0,100
"23101946",0,0,0,0,100,0,0,0,0,95.25
"23101948",0,0.36,2.29,6.98,90.38,0,0.36,2.29,6.98,90.38
"23101950",0,0,0,0,100,1.8,0.86,0,0,95.77
"23101952",0,0,0,0.31,78.83,0,0,0,0.31,78.83
"23101954",0,0,0,0,41.51,0,0,0,0,69.66
"23101956",5.93,0,0,0.33,93.73,5.93,0,0,0.33,93.73
"23101958",0,0,0,17.7,69.98,0,0.12,0,8.23,83.91
"23101960",0,0,0,0,63.95,0,0,0,0,74.57
"23101962",0,0,0,0,35.24,0,0,0,0,35.24
"23101964",0,0,0,0,91.41,0,0,0,0,91.41
"23101966",0,0,0,0,90.85,0,0,0,0,90.85
"23101968",0,0,0,9.93,66.49,0,0,0,9.93,66.49
"23101970",0,0,0,0,89.29,0,0,0,0,89.29
"23101972",0,0,0,0,67.42,0,0,0,0,67.42
"23101974",3.42,0,0,0,96.15,3.42,0,0,0,96.15
"23101976",1.63,0,0,0,98.36,1.63,0,0,0,98.36
"23101978",0,0,0,0,98.4,0,0,0,0,98.4
"23101980",0,0,0,0,74.05,0,0,0,0,74.05
"23101982",0,0,0,0,56.29,0,0.19,0,0,64.96
"23101984",0,0,0,0,61.68,0,0,0,0,61.68
"23101986",0,0,0,0,42.63,0,0,0,0,42.63
"23101988",0,0,0,0,83.57,0,0,0,0,83.57
"23101990",2.76,0,0.11,95.2,1.93,2.76,0,0.11,95.2,1.93
"23101992",0,0,0,0,73.34,0,0,0,0,73.34
"23101994",0,0,0,0,67.2,0,0,0,0,67.2
"23101996",0,0,0,0,81.86,0,0,0,0,81.86
"23101998",0,0,0,0,75.71,0,0,0,0,75.71
"23102000",1.93,0,0,0,97.84,1.93,0,0,0,97.84
"23102002",0,0,0,0,76.37,0,0.25,0,0,85.06
"23102004",0,0,0,0,100,0,0,0,0,100
"23102008",0,0,0,0,47.37,0,0,0,0,77.23
"23102010",0,0,0,0,96.45,0,0.57,0,0,90.81
"23102016",0,0,0,0,82.01,0,0,0,0,82.01
"23102018",0,0,0,0,75.85,0,0,0,0,75.85
"23102024",1.94,0,0,0,97.51,1.94,0,0,0,97.51
"23102026",0,0,0,0,94.07,0,0,0,0,94.07
"23102030",0,0,0,0,100,0,0,0,0,100
"23102032",0,0,0,0,71.63,0,0,0,0,71.63
"23102034",5.04,0,0,0,94.96,5.04,0,0,0,94.96
"23102036",2.05,0,0,0,92.09,2.05,0,0,0,92.09
"23102038",0,0,0,0,100,0,0,0,0,100
"23102040",0.68,0,0,0,99.32,0.68,0,0,0,99.32
"23102042",0,0,0,0,50,0,0,0,0,77.22
"23102044",0,0,0,0,99.65,0,0,0,0,99.65
"23102046",7.27,0,0,0,92.73,2.93,0,0,0,92.88
"23102048",0,0,0,0,100,0,0,0,0,97.26
"23102050",0,0,0,0,98.77,0,0,0,0,98.77
"23102052",0,0,0,0,100,0,0,0,0,96.68
"23102054",30.66,0,4.67,8.32,56.35,22.87,0,3.35,48.96,23.77
"23102056",1.42,0,1.69,16.22,80.14,1.51,0.73,0.47,2.27,93.78
"23102058",0,0,0,0,78.73,0,0,0,0,78.73
"23102060",0,0,0,0,75.42,0,0,0,0,75.42
"23102062",0,0,0,0,68.66,0,0,0,0,79.98
"23102064",0,0.9,0.77,0,97.23,0.77,0.26,0.22,0,98.1
"23102066",0,0,0,0,55.01,0,0,0,0,55.01
"23102068",3.72,0.15,0.35,47.66,45.89,3.43,0.1,0.27,12.23,83.64
"23102070",0,0,0,0,64.85,0.06,0.12,0,6.36,71.7
"23102074",4.44,0,0,0,95.56,1.96,0,0,0,94.43
"23102078",0,0,0,1.2,79.16,0,0,0,1.2,79.16
"23102088",0,0,0,0,89.5,0,0,0,0,89.5
"23102090",0.2,15.37,0,0,84.43,0.2,15.37,0,0,84.43
"23102092",0,0,0,0,53.31,0,0,0,0,80.38
"23102094",19.35,0,2.79,74,3.8,10.97,0,0.62,29.12,40.93
"23102096",2.64,0,0,0,94.91,2.64,0,0,0,94.91
"23102098",12.66,75.51,0.3,0,9.8,12.66,75.51,0.3,0,9.8
"23102100",15.25,0,3.66,48.78,32.32,15.25,0,3.66,48.78,32.32
"23102102",0.08,0.61,0.57,6.02,92.72,0.44,0.3,0.28,1.58,96.55
"23102104",0,0,0,0,64.45,0,0,0,0,64.45
"23102106",0,0,0,0,77.41,0,0,0,0,77.41
"23102108",0,0,0,0,68.65,0,0,0,0,68.65
"23102110",0,0,0,0,92.71,0,0,0,0,92.71
"23102112",0,0,0,0,95.82,0,0,0,0,95.82
"23102114",6.47,0.31,0.2,92.65,0.39,4.36,0.15,0.31,30.21,64.65
"23102116",0,0,0,0,48.98,0,0,0,0,48.98
"23102118",0,0,0,0,69.24,0,0,0,0,59.41
"23102120",3.5,0,0,0,89.5,3.5,0,0,0,89.5
"23102124",0,0,0.05,0,97.37,0,0,0.05,0,97.37
"23102126",1.35,0,0,0,98.65,1.99,0,0,0,95.02
"23102128",0,0,0,0,98.48,0,0,0,0,98.48
"23102130",8.35,0,2.94,29.66,59.06,8.35,0,2.94,29.66,59.06
"23102134",15.25,0,3.66,48.78,32.32,0.68,0.3,0.33,2.34,95.52
"23102140",0,0,0,0,62.92,0.07,0.13,0,6.9,72.3
"23102142",0,0,0,0,81.13,0,0,0,0,81.13
"23102144",13.38,0,8.65,68.97,5.75,6.56,0,2.33,34.2,25.96
"23102146",8.54,0.25,0.69,89.89,0.12,4.1,0.13,0.33,22.8,72.29
"23102148",0,0,0,0,76.03,0,0,0,0,76.03
"23102150",0,0,0,0,90.54,0,0.75,0,0,89.87
"23102152",7.37,32.29,0,0,60.34,7.37,32.29,0,0,60.34
"23102154",0,0,0,0,83.49,0,0,0,0,83.49
"23102156",0,0,0,0,96.9,0,0,0,0,96.96
"23102158",0,0,0,0,100,0,0,0,0,100
"23102168",0,0,0,0,98.36,0,0,0,0,89.86
"23102170",0,0,0,0,79.36,0,0,0,0,79.36
"23102172",0,0,0,0,83.32,0,0.13,0,0,87.19
"23102174",0,0.17,0,0.06,63.63,0,0.17,0,0.06,63.63
"23102176",0,0.38,0,0,69.37,0,0.38,0,0,69.37
"23102178",0,0,0,0,82.11,0,0,0,0,82.11
"23102180",0,0.36,0,0,98,0,0.36,0,0,98
"23102182",0,0,0,0,63.5,0,0,0,0,68.64
"23102188",2.49,0,1.07,13.49,82.95,2.49,0,1.07,13.49,82.95
"23102190",3.5,0,0,0,89.5,1.39,0,0,0,93.3
"23102192",2.56,0,0,0,52.56,1.64,0,0,0,94.19
"23102198",0,0.3,0,0,87.67,0,0.3,0,0,87.67
"23102202",0,0,0,0,84.15,0,0,0,0,84.15
"23102204",10.29,41.81,0,0,47.9,10.29,41.81,0,0,47.9
"23102206",3.04,0,3.67,7.97,74.74,0.26,0,0.32,0.69,67.91
"23102208",0,0.28,0,0,85.54,0,0.28,0,0,85.54
"23102210",0,0,0,0,82.21,0,0,0,0,82.21
"23102212",0,0,0,0,46.78,0.09,0.05,0,9.24,72.86
"23102214",0,0,0,0,89.98,0,0,0,0,89.98
"23102224",21.45,0,20.2,58.35,0,21.45,0,20.2,58.35,0
"23102226",0,0,0,0,61.93,0,0,0,0,69.06
"23102232",0,0,0,5.31,64.92,0,0,0,5.31,64.92
"23102234",0,0.59,0,0,86.27,0,0.59,0,0,86.27
"23102236",0,0,0,0,75.83,0,0,0,3.15,77.69
"23102238",25.01,0,50,0,0,21.71,0,22.41,54.04,0
"23102238",25.01,0,50,0,0,21.71,0,22.41,54.04,0
"23102240",0,0,0,0,86.54,0,0,0,0,86.54
"23102242",0,0.54,0,0,89.89,0,0.54,0,0,89.89
"23102244",0,0,0,0,72.21,0,0,0,0,83.28
"23102246",0,0,0,0,60.28,0,0,0,0,60.28
"23102248",3.56,0,0,0,84.9,3.56,0,0,0,84.9
"23102250",0,0,0,0,37.43,1.55,0,0,0,92.03
"23102252",0,0,0,0,70.83,0,0,0,0,70.83
"23102254",0,0,0,0,60.28,0,0,0,0,75.34
"23102258",0,0,0,0,90.66,0,0.01,0,8.28,83.04
"23102260",0,0,0,0,79.44,0,0,0,0,79.44
"23102268",0,0,0,0,98.64,0,0,0,0,98.64
"23102270",0,0,0,0,86.31,0,0,0,0,86.31
"23102272",0.65,0,0,0,62.84,0.13,0,0,0,72.64
"23102274",0.15,0,0,0,88.01,0.15,0,0,0,88.01
"23102276",0,0,0,0,66.85,0,0,0,4.13,78.27
"23102278",0,0,0,0,77.8,0,0,0,0,90.32
"23102280",7.68,44.74,0,0,47.33,7.68,44.74,0,0,47.33
"23102282",0,0,0,0,76,0,0,0,4.26,78.63
"23102284",0,0,0,0,89.64,0,0,0,0,89.64
"23102286",0,0,0,0,98,0,0,0,4.27,78.63
"23102290",1.75,0,0,0,84.11,0.39,0,0,0,61.05
"23102292",8.33,0,0,0,91.67,0.39,0,0,0,61.05
"23102294",8.33,0,0,0,91.67,0.39,0,0,0,61.07
"23102296",0,0,0,0,98,0,0,0,9.99,82.65
"23102298",0,0,0,0,83.57,0,0,0,0,83.57
"23102300",0,0,0,0,64.37,0,0,0,0,64.37
"23102302",5.2,9.05,36.76,36.2,11.2,5.2,9.05,36.76,36.2,11.2
"23102304",0,0,0,0,100,0,0,0,0,100
"23102306",0,0,0,0,58.87,0,0,0,0,75.3
"23102308",0,0,0,0,73.39,0,0.04,0,0,71.37
"23102312",0,0,1.4,0,93.23,0,0,1.4,0,93.23
"23102314",0,0,0,0,96.58,0,0,0,0,85.75
"23102318",0,0,0,0,65.91,0,0.01,0,9.56,81.97
"23102320",0,0,97.7,0,0,4.04,7.03,49.38,28.12,8.7
"23102322",0,0,91.02,0,0,4.37,7.61,45.38,30.45,9.42
"23102324",0,0,0,0,94.03,0,0,0,0,94.03
"23102326",0,0,0,0,42.11,0,0,0,0,42.11
"23102328",0,0,0,0,79.27,0,0,0,0,79.27
"23102330",0,1.8,0,0,92.03,0,1.8,0,0,92.03
"23102334",0,0,0,0,86.36,0,0,0,9.99,82.64
"23102336",0,21.55,0.5,0,77.95,5.98,32.23,0.17,0,61.63
"23102338",0,0,0,0,98.21,0,0,0,0,93.5
"23102340",0,0,0,0,82.52,0,0,0,0,82.52
"23102342",0,0,0,0,74.39,0,0,0,0,74.39
"23102344",0,0,0,0,86.05,0,0,0,0,87.66
"23102346",2.1,35.5,0.05,0,62.34,5.89,39.72,0.03,0,54.28
"23102350",0,2.56,0,0,97.43,0,2.56,0,0,97.43
"23102352",0,0,0,0,41.03,0,0,0,0,41.03
"23102354",0,0,0,100,0,0.57,0,0.23,7.02,63.24
"23102356",4.24,0,4.03,24.63,66.18,4.24,0,4.03,24.63,66.18
"23102360",0,0,0,0,85.7,0,0,0,0,85.7
"23102362",6.06,0,0,93.94,0,0.58,0,0.23,7.2,63.1
"23102364",14.45,44.76,0,0,40.78,14.45,44.76,0,0,40.78
"23102366",6.97,0,0,27.71,53.58,6.97,0,0,27.71,53.58
"23102368",2.13,0,0,78.57,19.3,0.48,0,0,4.15,58.87
"23102370",0,0,0,0,97.52,0,0,0,0,97.75
"23102372",0,0,0,0,100,0,0,0,0,100
"23102374",2.22,24.26,3.71,0,69.8,5.07,34.14,0.59,0,60.18
"23102376",1.37,39.92,5.68,0,53.03,5.77,36.36,0.28,0,57.54
"23102378",7.21,1.97,7.49,61.15,22.19,7.88,0.33,5.88,35.73,41.11
"23102380",0,0,0,0,91.94,0,0,0,0,91.94
"23102382",0,0,0,100,0,6.62,0,0,31.36,50.87
"23102384",0,0,0,0,83.64,0,0,0,0,82.05
"23102386",3.57,5.36,9.55,0,79.53,4.16,25.08,2.12,0,68.25
"23102388",0,0,0,0,100,0,0,0,0,81.88
"23102390",0,0,0,100,0,6.48,0,0,32.77,49.83
"23102394",0,0.79,0,0,95.2,0,0.79,0,0,95.2
"23102396",2.25,0,0,0,95.67,0.65,0,0,0,84.45
"23102398",0.61,0,0,0,76.31,1.54,0,0,0,89.73
"23102400",0,0,0,0,55.27,0,0,0,0,76.86
"23102404",6.96,0.42,20.72,28.65,43.25,8.01,0.03,5.58,30.96,44.65
"23102406",0,0,0,100,0,2.2,0,0,11.17,86.62
"23102408",6.19,0.16,1.42,9.25,82.79,6.19,0.16,1.42,9.25,82.79
"23102410",0,0,0,0,91.99,0,0,0,7.69,88.06
"23102412",0,0,0,0,26.07,0.23,0.12,0,11.78,62.2
"23102414",0,0,0,0,58,0,0,0,0,80.97
"23102416",0,0,0,0,62.12,0,0,0,0,80.35
"23102418",0,0,0,0,88.87,0,0,0,0,71.53
"23102420",3.9,0,0,3.52,74.72,3.9,0,0,3.52,74.72
"23102422",3.65,0,0,8.95,68.73,3.65,0,0,8.95,68.73
"23102424",0,0,0,0,84.31,0,0,0,10.34,83.26
"23102426",19.66,0,7,70.57,2.16,17.29,0,5.01,46.68,22.03
"23102428",0,0,0,0,68.16,0,0,0,0,68.16
"23102430",0,0,0,0,82.7,0,0,0,0,82.7
"23102432",0,0,0,0,71.99,0,0,0,0,83.06
"23102434",0,0.4,0,0,71.8,0,0.4,0,0,71.8
"23102438",3.85,0,0,94.61,1.54,5.24,0,0,61.81,27.15
"23102440",3.89,0.19,3.31,12.16,80.44,3.52,0.14,2.35,8.64,85.03
"23102444",0,0,0,0,99.05,0,0,0,0,99.05
"23102446",0,0,0,0,73.86,0,0,0,0,73.86
"23102448",0,0,0,0,67.91,0,0,0,0,67.91
"23102450",27.79,0,3.05,60.04,9.13,8.1,0,2.98,36.58,24.3
"23102452",0,0,0,0,65,0,0,0,0,65
"23102454",2.78,27.64,0.32,0,69.27,2.78,27.64,0.32,0,69.27
"23102456",0,0,0,0,44.4,0,0,0,0,81.11
"23102460",0,0,59.38,0,32.81,0,0,59.38,0,32.81
"23102464",0,0,0,0,33.12,0,0,0,0,83.3
"23102466",11.75,0,3.74,50.94,19.48,11.75,0,3.74,50.94,19.48
"23102468",0,0,0,47.06,52.94,0,0,0,47.06,52.94
"23102470",0.32,0,0,0.62,88.24,0.08,0,0,0.16,88.33
"23102472",0.51,0,0,0,98.39,0.51,0,0,0,98.39
"23102476",0,0,0,0,86.8,0,0,0,3,89.2
"23102478",0,0,0,0,83.15,0,0,0,0,70.39
"23102480",5.08,0,0,35.11,59.8,5.08,0,0,35.11,59.8
"23102482",12.31,0,0,86.55,1.13,5.58,0,0,24.16,55.83
"23102484",0,0,2.5,80,0,0,0,2.5,80,0
"23102486",1.2,0,0,1.82,96.98,1.2,0,0,1.82,96.98
"23102488",50,0,0,50,0,5.86,0,0,24.32,55.48
"23102494",2.58,0,0,0,97.29,1.37,0,0,0,88.85
"23102496",57.15,0,0,42.86,0,5.99,0,0,24.37,55.35
"23102500",0,0,0,0,54.37,0,0,0,0,54.37
"23102502",1.85,0,0,12.25,57.66,0.95,0,0,6.27,65.93
"23102504",0,0,0,0,100,1.34,0,0,0,88.54
"23102506",0,0,0,0,100,0,0,0,0,100
"23102508",0,0,0,100,0,0.95,0,0,6.34,65.88
"23102510",26.09,0,4.35,69.56,0,1,0,0.01,6.47,65.74
"23102512",16.43,0.2,4.53,48.39,27.82,20.73,0.07,3.74,48.77,25.12
"23102514",1.87,0,0,0,96.25,1.23,0,0,0,87.29
"23102516",0,0,0,0,95.41,0,0,0,0,95.41
"23102518",0,0,0,0,91.45,0,0,0,0,91.45
"23102520",0,0,0,0,64.37,0,0,0,0,74.33
"23102522",0,0,0,0,73.14,0,0,0,0,73.14
"23102524",1.94,0,0.6,28.95,68.51,2.43,0.99,1.13,10.34,84.51
"23102526",0,0,0,37.04,62.96,3.06,1.87,1.84,0.33,91.91
"23102528",4.29,0,25.71,70,0,1.02,0,0.17,6.88,65.32
"23102530",17.47,0,0,82.54,0,6.46,0,0,26.8,53.03
"23102532",0,0,0,0,78.88,0,0,0,0,78.88
"23102534",7.51,0,7.16,67.27,18.06,7.51,0,7.16,67.27,18.06
"23102536",0,0,0,0,93.08,0,0,0,0,93.69
"23102538",0,0,0,0,79.66,0,0,0,0,79.66
"23102540",0,0,0,0,70.35,0,0,0,0,68.45
"23102542",4.59,0,0,0,94.29,4.59,0,0,0,94.29
"23102544",0,0,0,0,85.44,0,0,0,0,85.44
"23102546",0,0,0,0,73.65,0,0,0,0,73.65
"23102548",0,0,0,100,0,1.46,0,0,10.64,87.53
"23102550",0.44,0.12,0,20.55,64.63,0.44,0.12,0,20.55,64.63
"23102552",11.83,65.99,0.51,0,17.16,11.83,65.99,0.51,0,17.16
"23102558",6.43,0.43,13.63,39.52,38.17,6.43,0.43,13.63,39.52,38.17
"23102560",0,0,0,0,66.23,0,0,0,0,87.54
"23102562",0,0,0,0,77.7,0,0.09,0,0,72.09
"23102566",0.1,0,0,39.99,53.19,0.1,0,0,39.99,53.19
"23102568",10.29,0,27.61,47.57,13.77,10.29,0,27.61,47.57,13.77
"23102570",0,0,0,0,36.93,0,0,0,0,84.85
"23102572",0,0,0,0,65.69,0,0,0,0,65.69
"23102574",0,0,0,0,93.93,0,0,0,0,93.93
"23102576",0,0,0,0,41.55,0,0,0,0,41.55
"23102580",0,0,0,0,73.78,0.03,0,0,12.1,72.95
"23102582",0.5,34.03,0,0,65.2,0.5,34.03,0,0,65.2
"23102584",74.08,0,14.81,0,0,13.84,0,3.6,40.76,21.12
"23102586",0,0,0,0,95.48,0,0,0,0,95.48
"23102588",57.15,0,42.86,0,0,13.84,0,3.61,40.75,21.11
"23102592",0,0,0,0,77.6,0,0,0,0,76.04
"23102594",0,0.21,0,3.41,81.52,0,0.21,0,3.41,81.52
"23102596",0,0,0,3.73,87.92,0,0,0,3.73,87.92
"23102598",0,0,0,0,86.82,0.03,0,0,10.89,71.86
"23102600",0,0,0,8.71,87.03,0,0,0,8.71,87.03
"23102602",0,0,0,0,63.54,0.05,0,0,21.21,64.65
"23102606",0,0,0,0,92.33,0,0,0,0,92.33
"23102608",3.08,1.89,1.85,0,92.17,3.08,1.89,1.85,0,92.17
"23102610",0,0,63.75,0,26.25,0,0,63.75,0,26.25
"23102612",0,0,0,0,83.82,0.02,0,0,7.64,73.46
"23102614",0,0,0,0,76.74,0,0,0,0,74.38
"23102616",0,0,0,0,95.14,0,0,0,0,95.14
"23102618",0,0,0,0,87.09,0,0,0,0,87.09
"23102620",0,0,0,0,99.7,1.22,0,0,0,89.56
"23102622",0,0,0,0,100,0,0,0,0,100
"23102624",0,0,0,3.69,93.51,0,0,0,3.69,93.51
"23102626",5.19,0,0.07,18.73,41.88,1.37,0,0.02,4.59,67.26
"23102628",0,0,0,0,71.15,0.02,0,0,5.99,73.36
"23102630",3.45,0,0,96.55,0,1.38,0,0.02,4.71,67.18
"23102632",0,0,0,0,39.8,0,0,0,0,39.8
"23102634",55.55,0,0,44.44,0,1.4,0,0.02,4.72,67.15
"23102636",0,0,0,10.35,87.71,0,0,0,10.35,87.71
"23102644",0,0,0,0,57.93,0,0,0,0,57.93
"23102646",7.36,0,0,61.43,30.15,1.58,0,0,12.83,76.32
"23102648",20,0,0,80,0,1.61,0,0,12.93,76.19
"23102650",0,0,0,25.14,73.77,0,0,0,25.14,73.77
"23102654",50,0,0,50,0,1.69,0,0,13,76.06
"23102656",1.51,0,0,7.75,90.37,1.51,0,0,7.75,90.37
"23102660",0,0,0,0,89.6,0,0,0,0,89.6
"23102662",5.54,0,0,0,94.46,1.24,0,0,0,89.9
"23102664",1.38,0,0,0,98.62,1.38,0,0,0,98.62
"23102666",0,0,0,0,62.24,0,0,0,0,70.83
"23102670",0,0,0,0,100,0,0,0,0,84.56
"23102672",0,0.02,0,11.95,76.8,0,0.02,0,11.95,76.8
"23102676",8.58,0,5.31,33.01,42.32,8.07,0,4.56,31.13,44.75
"23102680",0,0,0,0,88.02,0,0,0,0,88.02
"23102684",9.76,0,7.53,64.39,17.7,3.66,0,1.56,21.45,53.99
"23102686",0,0,0,0,88.08,0,0,0,0,88.08
"23102688",0,0,0,0,98.5,0,0,0,0,98.5
"23102690",0,0,0,0,80.49,0,0,0,0,74.64
"23102696",2,0,1.56,17.71,78.72,2,0,1.56,17.71,78.72
"23102700",0,0,0,0,78.07,0,0,0,0,78.07
"23102706",0,0,0,17.3,58.77,0,0,0,17.3,58.77
"23102708",0,0,0,8.15,78.6,0,0,0,8.15,78.6
"23102710",0.09,33.38,0.35,0,65.67,0.09,33.38,0.35,0,65.67
"23102712",8.69,67.2,0,0,21.62,8.69,67.2,0,0,21.62
"23102716",7.38,0,0,68.99,15.4,5.61,0,0.89,21.86,56.67
"23102720",18.66,0,0,17.04,62.87,1.65,0,0,0.4,89.6
"23102722",5.9,0,0,14.55,69.3,1.21,0,0,2.98,92.14
"23102724",2.08,0,0,93.64,4.29,2.08,0,0,93.64,4.29
"23102728",22,0,0,78,0,1.54,0,0,1.35,90.28
"23102730",0,0,0,0,80.39,0,0,0,0,80.39
"23102732",42.3,0,0,57.69,0,1.56,0,0,1.37,90.25
"23102734",3.3,69.89,1.18,0,17.12,3.3,69.89,1.18,0,17.12
"23102736",1.5,0,0,58.29,31.98,1.5,0,0,58.29,31.98
"23102738",0,0,0,0,87.72,0,0,0,11.73,70.51
"23102740",1.5,0,0,92.79,4.95,1.5,0,0,92.79,4.95
"23102742",5.62,0,0,88.83,5.56,5.62,0,0,88.83,5.56
"23102746",0,0,0,0,59.95,0,0,0,0,59.95
"23102748",4.97,0,1.2,5.1,71.34,4.97,0,1.2,5.1,71.34
"23102750",0,0,0,0,74.88,0,0,0,0,74.88
"23102752",0,0,0,74.13,20.35,3.92,17.68,1.55,7.6,67.46
"23102754",0,0,0,96.42,3.58,0,0,0,96.42,3.58
"23102756",9.83,0,15.76,72.71,0,1.84,0,0.84,8.29,63.63
"23102758",5.51,0,0,65.23,25.11,5.68,0,0,63.41,26.87
"23102762",0,0,0,0,84.49,0,0,0,0,77.65
"23102764",2.36,44.73,0,0,52.7,2.36,44.73,0,0,52.7
"23102768",31.25,2.08,33.33,0,33.33,31.25,2.08,33.33,0,33.33
"23102770",0,44.15,0,0,55.85,1.84,45.54,0.59,0,51.69
"23102772",0,0,0,0,39.8,0,0,0,0,73.39
"23102774",0,0.33,0,0,72.02,0,0.33,0,0,72.02
"23102776",4.6,0,0.26,94.02,0.65,4.6,0,0.26,94.02,0.65
"23102782",0,0,0,30.79,68.9,0,0,0,30.79,68.9
"23102784",0.23,0,0,24.34,56.02,0.23,0,0,24.34,56.02
"23102786",0,75.76,0,0,24.24,1.73,46.01,0.9,0,50.96
"23102788",1.7,46.87,1.08,0,49.8,1.7,46.87,1.08,0,49.8
"23102792",0.18,23.16,0.1,0,75.18,0.18,23.16,0.1,0,75.18
"23102794",0,0,0,0,58.12,0.01,0,0,4.54,73.22
"23102796",0,0,0,0,83.38,0,0,0,0,83.38
"23102798",8.33,0,0,0,40.48,0.03,0,0,4.23,73.82
"23102800",0,0,0,0,74.87,0,0,0,0,74.87
"23102804",0,0,0,0,57.03,0,0,0,0,73.68
"23102806",0,0,0,0.55,58.34,0,0,0,0.55,58.34
"23102808",0,0,0,0,75.42,0,0,0,0,75.42
"23102810",6.71,68.19,0,0,24.29,6.71,68.19,0,0,24.29
"23102812",9.94,53.63,0.4,0,26.34,9.94,53.63,0.4,0,26.34
"23102814",0,0,0,0,57.03,0,0,0,0,57.03
"23102816",2.37,19.22,2.86,0,75.21,1.34,26.33,0.75,0,70.48
"23102818",0,11.51,0,0,88.5,0,11.51,0,0,88.5
"23102820",4.33,20.86,0,0,71.33,4.33,20.86,0,0,71.33
"23102824",0,67.06,4.71,0,28.24,1.37,28.96,0.57,0,67.78
"23102826",0,40.39,0.25,0,58.69,1.11,25.83,0.1,0,71.21
"23102828",0,0,0,0,52.83,0,0,0,0,52.83
"23102830",2.08,39.12,0.5,0,58.3,2.08,39.12,0.5,0,58.3
"23102832",0,0,0,0,49.38,0,0,0,0,49.38
"23102834",55.38,0.09,1.98,29.51,7.67,26.84,0.46,3.44,46.61,20.48
"23102836",3.05,21.25,0,0,59.74,3.05,21.25,0,0,59.74
"23102838",17.39,0,0,60.87,21.74,3.74,19.74,1.15,1.18,72.27
"23102840",1.64,0,0,96.72,1.64,1.64,0,0,96.72,1.64
"23102842",17.24,0,0,53.45,29.31,3.75,19.72,1.15,1.22,72.23
"23102846",26.84,0,1.49,63.9,7.77,2.91,0,0.68,15.39,52.78
"23102848",4.42,15.73,0.27,0,79.19,4.42,15.73,0.27,0,79.19
"23102852",6.96,0,7.18,47.76,37.61,3.92,18.69,1.46,3.66,70.42
"23102854",9.88,0,0,82.69,7.02,2.93,0,0,23.51,65.65
"23102856",4.78,0,0.04,48.42,37.92,4.78,0,0.04,48.42,37.92
"23102858",0,0,0,100,0,3.72,0,0.02,34.3,53.65
"23102862",0,0,0,0,91.66,0,0,0,0,91.66
"23102864",25.34,1.02,8.2,60.06,5.37,15.35,0.15,2.35,59.79,21.14
"23102866",0,0,0,0,94.55,0,0,0,0,94.55
"23102868",4.7,0,0,39.88,54.22,4.7,0,0,39.88,54.22
"23102870",1.58,0,0,2.55,90.06,0.46,0,0,0.74,92.59
"23102872",0,0,0,51.72,48.28,0,0,0,51.72,48.28
"23102874",0,0,0,100,0,4.7,0,0,39.88,54.22
"23102876",1.02,0,0,0.29,75.57,0.1,0,0,3.73,74
"23102878",9.26,64.49,2.96,0,16.15,9.26,64.49,2.96,0,16.15
"23102880",3,0.11,4.69,0,84.35,3.49,1.44,3.12,0,88.81
"23102884",0,0,0,100,0,4.67,0,0,40.34,53.8
"23102886",1.43,0,0,96.26,2.31,1.43,0,0,96.26,2.31
"23102888",7.34,0,2.83,88.25,0.79,2.03,0,0.91,11.05,61.46
"23102890",0,0,0,0,63.95,0.87,0,0,36.92,47.2
"23102892",0,0,0,0,37.72,0,0,0,0.34,55.84
"23102896",3.23,0,4.1,62.08,27.98,3.23,0,4.1,62.08,27.98
"23102898",11.19,0,0,24.3,59.74,11.19,0,0,24.3,59.74
"23102900",0,0,0,100,0,11.09,0,0,24.98,59.21
"23102902",0,0,0,0,98.9,0,0,0,0,98.9
"23102904",0,0,0,100,0,11.08,0,0,25.08,59.13
"23102908",3.09,0,0,58.66,26.73,0.21,0,0,4.17,75.96
"23102910",2.26,38.32,2.02,0,57.4,2.26,38.32,2.02,0,57.4
